date,city,olx,otodom
2023-05-23,Cała Polska,36984,126015
2023-05-30,Cała Polska,37256,126943
2023-06-06,Cała Polska,37461,127638
2023-06-13,Cała Polska,37620,128179
2023-06-20,Cała Polska,37756,128643
2023-06-27,Cała Polska,37869,129030
2023-07-04,Cała Polska,38005,129494
2023-07-11,Cała Polska,38119,129880
2023-07-18,Cała Polska,38187,130112
2023-07-25,Cała Polska,38278,130421
2023-08-01,Cała Polska,38391,130808
2023-08-08,Cała Polska,38573,131427
2023-08-15,Cała Polska,38686,131813
2023-08-22,Cała Polska,38845,132354
2023-08-29,Cała Polska,39004,132895
2023-09-05,Cała Polska,39094,133205
2023-09-12,Cała Polska,39162,133437
2023-09-19,Cała Polska,39208,133591
2023-09-26,Cała Polska,39253,133746
2023-10-03,Cała Polska,39344,134055
2023-10-10,Cała Polska,39480,134519
2023-10-17,Cała Polska,39548,134751
2023-10-24,Cała Polska,39662,135137
2023-10-31,Cała Polska,39707,135292
2023-11-07,Cała Polska,39775,135524
2023-11-14,Cała Polska,39866,135833
2023-11-21,Cała Polska,39979,136220
2023-11-28,Cała Polska,40070,136529
2023-12-05,Cała Polska,40115,136684
2023-12-12,Cała Polska,40206,136993
2023-12-19,Cała Polska,40342,137457
2023-12-26,Cała Polska,40410,137689
2024-01-02,Cała Polska,40478,137921
2024-01-09,Cała Polska,40524,138075
2024-01-16,Cała Polska,40569,138230
2024-01-23,Cała Polska,40615,138384
2024-01-30,Cała Polska,40683,138616
2024-02-06,Cała Polska,40751,138848
2024-02-13,Cała Polska,40796,139003
2024-02-20,Cała Polska,40842,139158
2024-02-27,Cała Polska,40910,139389
2024-03-05,Cała Polska,40978,139621
2024-03-12,Cała Polska,41068,139931
2024-03-19,Cała Polska,41114,140085
2024-03-26,Cała Polska,41205,140394
2024-04-02,Cała Polska,41273,140626
2024-04-09,Cała Polska,41341,140858
2024-04-16,Cała Polska,41409,141090
2024-04-23,Cała Polska,41477,141322
2024-04-30,Cała Polska,41522,141477
2024-05-07,Cała Polska,41613,141786
2024-05-14,Cała Polska,41681,142018
2024-05-21,Cała Polska,41749,142250
2024-05-28,Cała Polska,41794,142405
2024-06-04,Cała Polska,41840,142559
2024-06-11,Cała Polska,41885,142714
2024-06-18,Cała Polska,41931,142868
2024-06-25,Cała Polska,41976,143023
2024-07-02,Cała Polska,42044,143255
2024-07-09,Cała Polska,42112,143487
2024-07-16,Cała Polska,42180,143719
2024-07-23,Cała Polska,42226,143873
2024-07-30,Cała Polska,42271,144028
2024-08-06,Cała Polska,42339,144260
2024-08-13,Cała Polska,42407,144492
2024-08-20,Cała Polska,42430,144569
2024-08-27,Cała Polska,42475,144724
2024-09-03,Cała Polska,42543,144956
2024-09-10,Cała Polska,42589,145110
2024-09-17,Cała Polska,42657,145342
2024-09-24,Cała Polska,42725,145574
2024-10-01,Cała Polska,42793,145806
2024-10-08,Cała Polska,42861,146038
2024-10-15,Cała Polska,42929,146270
2024-10-22,Cała Polska,42974,146425
2024-10-29,Cała Polska,43020,146579
2024-11-05,Cała Polska,43065,146734
2024-11-12,Cała Polska,43111,146889
2024-11-19,Cała Polska,43179,147120
2024-11-26,Cała Polska,43247,147352
2024-12-03,Cała Polska,43337,147662
2024-12-10,Cała Polska,43383,147816
2024-12-17,Cała Polska,43451,148048
2024-12-24,Cała Polska,43496,148203
2024-12-31,Cała Polska,43564,148435
2025-01-07,Cała Polska,43632,148667
2025-01-14,Cała Polska,43700,148899
2025-01-21,Cała Polska,43746,149053
2025-01-28,Cała Polska,43791,149208
2025-02-04,Cała Polska,43859,149440
2025-02-11,Cała Polska,43905,149594
2025-02-18,Cała Polska,43973,149826
2025-02-25,Cała Polska,44018,149981
2025-03-04,Cała Polska,44086,150213
2025-03-11,Cała Polska,44132,150367
2025-03-18,Cała Polska,44200,150599
2025-03-25,Cała Polska,44245,150754
2025-04-01,Cała Polska,44313,150986
2025-04-08,Cała Polska,44381,151218
2025-04-15,Cała Polska,44449,151450
2025-04-22,Cała Polska,44517,151682
2025-04-29,Cała Polska,44585,151914
2025-05-06,Cała Polska,44653,152146
2025-05-13,Cała Polska,44699,152300
2025-05-20,Cała Polska,44767,152532
