date,city,olx,otodom
2023-05-23,Cała Polska,47961,163460
2023-05-30,Cała Polska,38745,132049
2023-06-06,Cała Polska,35357,120502
2023-06-13,Cała Polska,43818,149339
2023-06-20,Cała Polska,49356,168213
2023-06-27,Cała Polska,47489,161853
2023-07-04,Cała Polska,45309,154422
2023-07-11,Cała Polska,37721,128562
2023-07-18,Cała Polska,47613,162272
2023-07-25,Cała Polska,36583,124681
2023-08-01,Cała Polska,38984,132865
2023-08-08,Cała Polska,49380,168297
2023-08-15,Cała Polska,43599,148594
2023-08-22,Cała Polska,40144,136817
2023-08-29,Cała Polska,45867,156323
2023-09-05,Cała Polska,48951,166836
2023-09-12,Cała Polska,45173,153957
2023-09-19,Cała Polska,48832,166430
2023-09-26,Cała Polska,38796,132226
2023-10-03,Cała Polska,44483,151606
2023-10-10,Cała Polska,35544,121140
2023-10-17,Cała Polska,49866,169953
2023-10-24,Cała Polska,35336,120432
2023-10-31,Cała Polska,48713,166021
2023-11-07,Cała Polska,49443,168511
2023-11-14,Cała Polska,49890,170034
2023-11-21,Cała Polska,47888,163212
2023-11-28,Cała Polska,35713,121719
2023-12-05,Cała Polska,36366,123944
2023-12-12,Cała Polska,43741,149077
2023-12-19,Cała Polska,44051,150136
2023-12-26,Cała Polska,39147,133420
2024-01-02,Cała Polska,47345,161361
2024-01-09,Cała Polska,39646,135122
2024-01-16,Cała Polska,41671,142021
2024-01-23,Cała Polska,36612,124783
2024-01-30,Cała Polska,49269,167917
2024-02-06,Cała Polska,41395,141084
2024-02-13,Cała Polska,44561,151872
2024-02-20,Cała Polska,40982,139675
2024-02-27,Cała Polska,39459,134482
2024-03-05,Cała Polska,48092,163908
2024-03-12,Cała Polska,39343,134087
2024-03-19,Cała Polska,49904,170082
2024-03-26,Cała Polska,35785,121961
2024-04-02,Cała Polska,48391,164927
2024-04-09,Cała Polska,48580,165569
2024-04-16,Cała Polska,35204,119984
2024-04-23,Cała Polska,49781,169663
2024-04-30,Cała Polska,39498,134619
2024-05-07,Cała Polska,43277,147495
2024-05-14,Cała Polska,47368,161441
2024-05-21,Cała Polska,35592,121306
2024-05-28,Cała Polska,48066,163819
2024-06-04,Cała Polska,35449,120817
2024-06-11,Cała Polska,42319,144231
2024-06-18,Cała Polska,46658,159021
2024-06-25,Cała Polska,37746,128647
2024-07-02,Cała Polska,35968,122587
2024-07-09,Cała Polska,36044,122845
2024-07-16,Cała Polska,44600,152005
2024-07-23,Cała Polska,42135,143604
2024-07-30,Cała Polska,48825,166406
2024-08-06,Cała Polska,38451,131050
2024-08-13,Cała Polska,40102,136674
2024-08-20,Cała Polska,37572,128054
2024-08-27,Cała Polska,37156,126635
2024-09-03,Cała Polska,44989,153333
2024-09-10,Cała Polska,44921,153099
2024-09-17,Cała Polska,37075,126357
2024-09-24,Cała Polska,44916,153084
2024-10-01,Cała Polska,37661,128354
2024-10-08,Cała Polska,40583,138313
2024-10-15,Cała Polska,35754,121857
2024-10-22,Cała Polska,47909,163283
2024-10-29,Cała Polska,48479,165227
2024-11-05,Cała Polska,47726,162660
2024-11-12,Cała Polska,47556,162081
2024-11-19,Cała Polska,40489,137993
2024-11-26,Cała Polska,48505,165316
2024-12-03,Cała Polska,46176,157378
2024-12-10,Cała Polska,48750,166149
2024-12-17,Cała Polska,39054,133104
2024-12-24,Cała Polska,45364,154609
2024-12-31,Cała Polska,44461,151532
2025-01-07,Cała Polska,38460,131080
2025-01-14,Cała Polska,43310,147609
2025-01-21,Cała Polska,41180,140350
2025-01-28,Cała Polska,35521,121063
2025-02-04,Cała Polska,36056,122886
2025-02-11,Cała Polska,40592,138346
2025-02-18,Cała Polska,39575,134881
2025-02-25,Cała Polska,35393,120627
2025-03-04,Cała Polska,37805,128847
2025-03-11,Cała Polska,45046,153526
2025-03-18,Cała Polska,38205,130211
2025-03-25,Cała Polska,47184,160810
2025-04-01,Cała Polska,44407,151349
2025-04-08,Cała Polska,37360,127331
2025-04-15,Cała Polska,45542,155215
2025-04-22,Cała Polska,49655,169233
2025-04-29,Cała Polska,36721,125151
2025-05-06,Cała Polska,36449,124225
2025-05-13,Cała Polska,35198,119962
2025-05-18,Cała Polska,49000,167000
2025-05-19,Cała Polska,48600,166800
2025-05-20,Cała Polska,48100,166200
